"name","smiles","formula","molwt","rb","glob","pbf","func_group"
"((4-Fluorophenyl)(propan-2-yl)carbamoyl)methanesulfonicacid","CC(C)N(C(=O)CS(O)(=O)=O)C1=CC=C(F)C=C1","C11H14FNO4S","275.297","4","0.25972","0.970463","No Amine"
"(2,4-Dichlorophenoxy)Aceticacid","OC(=O)COC1=C(Cl)C=C(Cl)C=C1","C8H6Cl2O3","221.037","3","0.0112196","0.09541","No Amine"
"10,11-dihydroxycarbamazepine","NC(=O)N1C2=CC=CC=C2C(O)C(O)C2=CC=CC=C12","C15H14N2O3","270.283","0","0.291754","1.09279","No Amine"
"1-Decanol","CCCCCCCCCCO","C10H22O","158.281","8","0.053769","0.609285","No Amine"
"2(3H)-Benzothiazolone","O=C1NC2=CC=CC=C2S1","C7H5NOS","151.186","0","1.19852e-10","1.95781e-05","No Amine"
"2,6-Dichlorobenzamide","NC(=O)C1=C(Cl)C=CC=C1Cl","C7H5Cl2NO","190.027","1","0.0826063","0.395514","No Amine"
"2-Hydroxyibuprofen","CC(C(O)=O)C1=CC=C(CC(C)(C)O)C=C1","C13H18O3","222.28","4","0.15696","1.01433","No Amine"
"2-methyl-4-chlorophenoxyaceticacid","CC1=C(OCC(O)=O)C=CC(Cl)=C1","C9H9ClO3","200.619","3","0.0764449","0.489929","No Amine"
"4-Phenoxybutyricacid","OC(=O)CCCOC1=CC=CC=C1","C10H12O3","180.2","5","0.0516354","0.520456","No Amine"
"5-Amino-2-methylphenol","CC1=C(O)C=C(N)C=C1","C7H9NO","123.152","0","0.0211043","0.166505","No Amine"
"5-Methyl-1H-benzotriazole","CC1=CC=C2NN=NC2=C1","C7H7N3","133.151","0","0.019642","0.125028","No Amine"
"Acenaphthene","C1CC2=C3C1=CC=CC3=CC=C2","C12H10","154.208","0","0.0381328","0.162522","No Amine"
"Acetaminophen","CC(=O)NC1=CC=C(O)C=C1","C8H9NO2","151.163","1","0.0107703","0.106935","No Amine"
"Acetamiprid","CN(CC1=CN=C(Cl)C=C1)C(C)=NC#N","C10H11ClN4","222.674","3","0.125318","0.815904","No Amine"
"Acetylsalicylicacid","CC(=O)OC1=CC=CC=C1C(O)=O","C9H8O4","180.157","3","0.0545564","0.422898","No Amine"
"Aclonifen","NC1=C(C=CC(OC2=CC=CC=C2)=C1Cl)[N+]([O-])=O","C12H9ClN2O3","264.664","3","0.106534","0.819816","No Amine"
"Amitriptyline","CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12","C20H23N","277.403","3","0.145128","0.980173","Tertiary Amine"
