"Compound_Name","molar_mass_g_mol","exact_mass_da","formula","lipinski_ro5","atom_count","heavy_atom_count","asymmetric_atom_count","rotatable_bond_count","ring_count","aromatic_ring_count","hetero_ring_count","fsp3","hbd_count","hba_count","formal_charge","tpsa_a2","rel_polar_sa","polarizability_a3","molar_refractivity_cm3_mol","vdw_volume_a3","min_projection_area_a2","max_projection_area_a2","min_projection_radius_a","max_projection_radius_a","vdw_surface_area_a2","solvent_accessible_surface_area_a2","pka_acid_strongest","pka_base_strongest","isoelectric_point","intrinsic_solubility_logS","solubility_category","logp","logd_ph0","logd_ph1","logd_ph2","logd_ph3","logd_ph4","logd_ph5","logd_ph6","logd_ph7","logD_pH7_4_interp","logd_ph8","logd_ph9","logd_ph10","logd_ph11","logd_ph12","logd_ph13","logd_ph14","hlb","iupac_name","smiles","inchi","inchikey","traditional_name","common_names","cas_registry_numbers","smiles_ew","formula_EW","molwt_EW","rb_EW","glob_EW","pbf_EW","func_group_EW","CID","smiles_PC","CAS_PC","MW_Da_PC","Dominant_charge_pH_7_4","Dominant_charge_pH_7_4_code","per_dominant_charge_pH_7_4","Charge_pH_7_4_num","func_group_updated","func_group_other","CODE_2","CODE","Class_abbrv","Class_abbrv_2","hydrophilic_compound","lowglob","lowflex","ENTRY_compound","Neg_charge_T_F","Positive_charge_T_F","Zwitt_charge_T_F","Uncharged_T_F","Group","spp_7_4"
"((4-Fluorophenyl)(propan-2-yl)carbamoyl)methanesulfonic acid","275.29","275.062757272","C11H14FNO4S","true","32","18","0","4","1","1","0","0.36","1","4","0","74.68",0.192157266364759,"25.18","63.76","230.7","48.04","64.26","5.06","5.59","388.64","421.14","-1.38",NA,NA,"-2.12","High","1.19","-0.17","-0.89","-1.15","-1.18","-1.19","-1.19","-1.19","-1.19",-1.19,"-1.19","-1.19","-1.19","-1.19","-1.2","-1.26","-1.63","14.01","[(4-fluorophenyl)(propan-2-yl)carbamoyl]methanesulfonic acid","CC(C)N(C(=O)CS(O)(=O)=O)C1=CC=C(F)C=C1","InChI=1S/C11H14FNO4S/c1-8(2)13(11(14)7-18(15,16)17)10-5-3-9(12)4-6-10/h3-6,8H,7H2,1-2H3,(H,15,16,17)","SZCMHDLOUVZYST-UHFFFAOYSA-N","flufenacet esa","flufenacet esa","201668-32-8","CC(C)N(C(=O)CS(O)(=O)=O)C1=CC=C(F)C=C1","C11H14FNO4S",275.297,4,0.25972,0.970463,"No Amine",16212225,"CC(C)N(C1=CC=C(C=C1)F)C(=O)CS(=O)(=O)O","201668-32-8",275.3,"(-1)","-",1,-1,"No Amine","No Amine","Pollutant","Pesticide metabolite","Pesticide metabolite","Pollutant",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"(2,4-Dichlorophenoxy)Acetic acid","221.03","219.9693995","C8H6Cl2O3","true","19","13","0","3","1","1","0","0.12","1","3","0","46.53",0.183275563258232,"19.13","48.22","163.67","27.79","61.26","3.84","6.25","253.88","370.59","2.81",NA,NA,"-3.04","High","2.5","2.5","2.49","2.44","2.1","1.29","0.33","-0.52","-0.94",-0.972,"-1.02","-1.03","-1.03","-1.03","-1.03","-1.03","-1.03","8.97","2-(2,4-dichlorophenoxy)acetic acid","OC(=O)COC1=C(Cl)C=C(Cl)C=C1","InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)","OVSKIKFHRZPJSS-UHFFFAOYSA-N","rhodia","2,4-D lithium; 2,4-dichlorphenoxyessigsaeure; C8H6cl2O3; R-H weed rhap 20; acme LV 4; acme LV 6; agricorn D; agrotect; amoxone; barrage; brush-rhap; caswell no. 315; ccris 949; chipco turf herbicide ""D""; chloroxone; citrus fix; crop rider; croprider; de-pester ded-weed LV-2; debroussaillant 600; ded-weed LV-69; deherban; dichlorophenoxyacetic acid; dicopur; dormon; dormone; emulsamine; emulsamine BK; emulsamine E-3; envert DT; epa pesticide chemical code 030001; esteron 44 weed killer; esteron 76 BE; estone; fernesta; fernimine; ferxone; foredex 75; green cross weed-no-more ""80""; hedonal; hedonal (the herbicide); herbidal; hivol-44; ipaner; lawn-keep; macondray; macrondray; miracle; monosan; mota maskros; moxone; netagrone; netagrone 600; pennamine D; phenox; pielik; planotox; plantgard; rcra waste number U240; red devil dry weed killer; rhodia; salvo; scott 4-XD weed control; scott's 4-XD weed control; silvaprop 1; superormone concentre; tributon; trinoxol; vergemaster; verton 2D; verton 38; vidon 638; visko-rhap low volatile 4l; weed tox; weed-B-gon; weed-ag-bar; weed-rhap; weed-rhap A-4; weed-rhap B-266; weed-rhap B-4; weed-rhap I-3.34; weed-rhap LV-4-0; weedatul; weedez wonder bar; weedone 100 emulsifiable; weedone LV4; weedtrol; β-selektonon","94-75-7, 64296-19-1","OC(=O)COC1=C(Cl)C=C(Cl)C=C1","C8H6Cl2O3",221.037,3,0.0112196,0.09541,"No Amine",1486,"C1=CC(=C(C=C1Cl)Cl)OCC(=O)O","94-75-7",221.03,"(-1)","-",1,-1,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"10,11-dihydroxycarbamazepine","270.288","270.100442319","C15H14N2O3","true","34","20","2","0","3","2","1","0.13","3","3","0","86.79",0.245155640924242,"28.26","73.49","235.23","48.6","69.74","4.82","5.7","354.02","365.99","12.84",NA,NA,"-2.64","High","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81",0.81,"0.81","0.81","0.81","0.81","0.75","0.41","-0.54","13.74","9,10-dihydroxy-2-azatricyclo[9.4.0.0³,⁸]pentadeca-1(15),3,5,7,11,13-hexaene-2-carboxamide","NC(=O)N1C2=CC=CC=C2C(O)C(O)C2=CC=CC=C12","InChI=1/C15H14N2O3/c16-15(20)17-11-7-3-1-5-9(11)13(18)14(19)10-6-2-4-8-12(10)17/h1-8,13-14,18-19H,(H2,16,20)","PRGQOPPDPVELEG-UHFFFAOYNA-N","dihydroxycarbazepine","dihydroxycarbazepine","35079-97-1","NC(=O)N1C2=CC=CC=C2C(O)C(O)C2=CC=CC=C12","C15H14N2O3",270.283,0,0.291754,1.09279,"No Amine",83852,"C1=CC=C2C(=C1)C(C(C3=CC=CC=C3N2C(=O)N)O)O","35079-97-1",270.28,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Non-antibiotic drug metabolite","Non-antibiotic drug metabolite","Pollutant",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"1-Decanol","158.285","158.167065328","C10H22O","true","33","11","0","8","0","0","0","1.0","1","1","0","20.23",0.0580521120293848,"19.78","49.74","189.61","22.85","67.41","3.11","8.35","348.48","462.76",NA,"-1.99",NA,"-3.45","Moderate","3.47","3.47","3.47","3.47","3.47","3.47","3.47","3.47","3.47",3.47,"3.47","3.47","3.47","3.47","3.47","3.47","3.47","4.06","decan-1-ol","CCCCCCCCCCO","InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3","MWKFXSUHUHTGQN-UHFFFAOYSA-N","decanol","1-decanol (natural); C 10 alcohol; C10 alcohol; C9-11 alcohols; agent 504; alcohol C-10; alcohols, C8-10; alcohols, C9-11; alfol 10; antak; capric alcohol; caprinic alcohol; caswell no. 275A; ccris 654; conol 10N; decyl, n- alcohol; dytol S-91; epa pesticide chemical code 079038; epal 10; fatty alcohol(C10); fema number 2365; kalcohl 1098; kalcohl 10H; lorol 22; n- alcohol decyl; n-decatyl alcohol; primary decyl alcohol; royaltac; royaltac M-2; royaltac-85; sipol L10","112-30-1, 85566-12-7, 36729-58-5, 64641-46-9","CCCCCCCCCCO","C10H22O",158.281,8,0.053769,0.609285,"No Amine",8174,"CCCCCCCCCCO","112-30-1",158.28,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"2(3H)-Benzothiazolone","151.18","151.009184959","C7H5NOS","true","15","10","0","0","2","2","1","0.0","1","2","0","29.1",0.161621771730075,"15.71","42.71","120.05","22.1","48.55","3.64","4.91","180.05","278.3","10.27",NA,NA,"-2.71","High","1.99","1.99","1.99","1.99","1.99","1.99","1.99","1.99","1.99",1.99,"1.99","1.97","1.81","1.29","0.82","0.7","0.69","9.24","2,3-dihydro-1,3-benzothiazol-2-one","O=C1NC2=CC=CC=C2S1","InChI=1S/C7H5NOS/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)","YEDUAINPPJYDJZ-UHFFFAOYSA-N","benzothiazolone","N/A","934-34-9, 74343-69-4","O=C1NC2=CC=CC=C2S1","C7H5NOS",151.186,0,1.19852e-10,1.95781e-05,"No Amine",13625,"C1=CC=C2C(=C1)NC(=O)S2","934-34-9",151.19,"(0)","0",0.999,-0.0014,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"2,6-Dichlorobenzamide","190.02","188.9748192","C7H5Cl2NO","true","16","11","0","1","1","1","0","0.0","1","1","0","43.09",0.204907508678492,"17.03","44.75","140.58","24.69","55.29","4.31","4.78","210.29","310.72","12.08","-0.29","5.9","-3.14","High","2.03","1.85","2.01","2.03","2.03","2.03","2.03","2.03","2.03",2.03,"2.03","2.03","2.04","2.06","2.18","2.29","2.31","11.7","2,6-dichlorobenzamide","NC(=O)C1=C(Cl)C=CC=C1Cl","InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)","JHSPCUHPSIUQRB-UHFFFAOYSA-N","2,6-dichlorobenzamide","BAM","2008-58-4","NC(=O)C1=C(Cl)C=CC=C1Cl","C7H5Cl2NO",190.027,1,0.0826063,0.395514,"No Amine",16183,"C1=CC(=C(C(=C1)Cl)C(=O)N)Cl","2008-58-4",190.02,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide metabolite","Pesticide metabolite","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"2-Hydroxyibuprofen","222.284","222.12559444","C13H18O3","true","34","16","1","4","1","1","0","0.46","2","3","0","57.53",0.155431875287061,"24.27","62.57","220.43","38.25","65.82","3.81","6.36","370.13","426.45","4.63",NA,NA,"-1.65","High","2.37","2.37","2.37","2.37","2.36","2.28","1.85","0.99","0.03",-0.29,"-0.77","-1.1","-1.15","-1.16","-1.16","-1.16","-1.18","6.55","2-[4-(2-hydroxy-2-methylpropyl)phenyl]propanoic acid","CC(C(O)=O)C1=CC=C(CC(C)(C)O)C=C1","InChI=1/C13H18O3/c1-9(12(14)15)11-6-4-10(5-7-11)8-13(2,3)16/h4-7,9,16H,8H2,1-3H3,(H,14,15)","UJHKVYPPCJBOSG-UHFFFAOYNA-N","2-hydroxyibuprofen","2-hydroxyibuprofen","51146-55-5","CC(C(O)=O)C1=CC=C(CC(C)(C)O)C=C1","C13H18O3",222.28,4,0.15696,1.01433,"No Amine",10443535,"CC(C1=CC=C(C=C1)CC(C)(C)O)C(=O)O","51146-55-5",222.28,"(-1)","-",0.998,-1,"No Amine","No Amine","Pollutant","Non-antibiotic drug metabolite","Non-antibiotic drug metabolite","Pollutant",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"2-methyl-4-chlorophenoxyacetic acid","200.62","200.0240218","C9H9ClO3","true","22","13","0","3","1","1","0","0.22","1","3","0","46.53",0.172390796932311,"18.9","48.45","166.6","29.45","61.77","4.0","6.36","269.91","377.47","2.96",NA,NA,"-2.56","High","2.41","2.41","2.41","2.37","2.09","1.34","0.38","-0.5","-1.0",-1.044,"-1.11","-1.12","-1.12","-1.12","-1.12","-1.12","-1.12","8.61","2-(4-chloro-2-methylphenoxy)acetic acid","CC1=C(OCC(O)=O)C=CC(Cl)=C1","InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)","WHKUVVPPKQRRBV-UHFFFAOYSA-N","zelan","4-chloro-o-cresoxyacetic acid; BH mcpa; MCP; MCPA; U 46 M-fluid; acme mcpa amine 4; agroxon; agroxone; anicon M; anicon kombi; banvel M; bordermaster; brominal M & plus; caswell no. 557C; chiptox; chwastox 30; chwastox extra; cornox-M; dicopur-M; emcepan; empal; epa pesticide chemical code 030501; hedapur M 52; hedarex M; hedonal M; herbicide M; hormotuho; hornotuho; kilsem; krezone; legumex DB; leuna M; leyspray; linormone; mephanac; metaxon; methyl chlorophenoxyacetic acid; methyl chlorophenoxyacetic acid (substance); methylchlorophenoxyacetic acid; netazol; okultin M; phenoxylene 50; phenoxylene plus; phenoxylene super; raphone; razol dock killer; rhomenc; rhomene; rhonox; seppic mmd; shamrox; trasan; ustinex; vacate; vesakontuho mcpa; weedar mcpa concentrate; weedone mcpa ester; zelan; β-selektonon M","94-74-6","CC1=C(OCC(O)=O)C=CC(Cl)=C1","C9H9ClO3",200.619,3,0.0764449,0.489929,"No Amine",7204,"CC1=C(C=CC(=C1)Cl)OCC(=O)O","94-74-6",200.62,"(-1)","-",1,-1,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"4-Phenoxybutyric acid","180.203","180.078644246","C10H12O3","true","25","13","0","5","1","1","0","0.3","1","3","0","46.53",0.164411151549415,"18.89","48.06","169.74","26.34","61.82","3.38","6.96","283.01","404.79","4.35",NA,NA,"-1.54","High","1.82","1.82","1.82","1.82","1.8","1.66","1.08","0.17","-0.78",-1.052,"-1.46","-1.68","-1.71","-1.71","-1.71","-1.71","-1.71","8.24","4-phenoxybutanoic acid","OC(=O)CCCOC1=CC=CC=C1","InChI=1S/C10H12O3/c11-10(12)7-4-8-13-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12)","YKYVPFIBWVQZCE-UHFFFAOYSA-N","butyric acid, 4-phenoxy-","N/A","6303-58-8, 38669-42-0","OC(=O)CCCOC1=CC=CC=C1","C10H12O3",180.2,5,0.0516354,0.520456,"No Amine",22741,"C1=CC=C(C=C1)OCCCC(=O)O","6303-58-8",180.2,"(-1)","-",0.999,-1,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"5-Amino-2-methylphenol","123.155","123.068413914","C7H9NO","true","18","9","0","0","1","1","0","0.14","2","2","0","46.25",0.238611154104112,"13.84","37.78","118.35","22.02","46.3","3.6","4.61","193.83","292.69","10.09","4.48","7.29","-1.06","High","1.35","-0.89","-0.87","-0.69","-0.07","0.76","1.24","1.34","1.35",1.35,"1.35","1.32","1.1","0.41","-0.4","-0.83","-0.91","7.75","5-amino-2-methylphenol","CC1=C(O)C=C(N)C=C1","InChI=1S/C7H9NO/c1-5-2-3-6(8)4-7(5)9/h2-4,9H,8H2,1H3","DBFYESDCPWWCHN-UHFFFAOYSA-N","5-amino-o-cresol","N/A","2835-95-2, 2635-98-5","CC1=C(O)C=C(N)C=C1","C7H9NO",123.152,0,0.0211043,0.166505,"No Amine",17818,"CC1=C(C=C(C=C1)N)O","2835-95-2",123.15,"(0)","0",0.997,-8e-04,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
