"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"((4-Fluorophenyl)(propan-2-yl)carbamoyl)methanesulfonic acid","pollutant","16212225","CC(C)N(C1=CC=C(C=C1)F)C(=O)CS(=O)(=O)O","201668-32-8",275.3,TRUE
"(2,4-Dichlorophenoxy)Acetic acid","pollutant","1486","C1=CC(=C(C=C1Cl)Cl)OCC(=O)O","94-75-7",221.03,TRUE
"10,11-dihydroxycarbamazepine","pollutant","83852","C1=CC=C2C(=C1)C(C(C3=CC=CC=C3N2C(=O)N)O)O","35079-97-1",270.28,TRUE
"1-Decanol","pollutant","8174","CCCCCCCCCCO","112-30-1",158.28,TRUE
"2(3H)-Benzothiazolone","pollutant","13625","C1=CC=C2C(=C1)NC(=O)S2","934-34-9",151.19,TRUE
"2,6-Dichlorobenzamide","pollutant","16183","C1=CC(=C(C(=C1)Cl)C(=O)N)Cl","2008-58-4",190.02,TRUE
"2-Hydroxyibuprofen","pollutant","10443535","CC(C1=CC=C(C=C1)CC(C)(C)O)C(=O)O","51146-55-5",222.28,TRUE
"2-methyl-4-chlorophenoxyacetic acid","pollutant","7204","CC1=C(C=CC(=C1)Cl)OCC(=O)O","94-74-6",200.62,TRUE
"4-Phenoxybutyric acid","pollutant","22741","C1=CC=C(C=C1)OCCCC(=O)O","6303-58-8",180.2,TRUE
"5-Amino-2-methylphenol","pollutant","17818","CC1=C(C=C(C=C1)N)O","2835-95-2",123.15,TRUE
"5-Methyl-1H-benzotriazole","pollutant","8705","CC1=CC2=NNN=C2C=C1","136-85-6",133.15,TRUE
"Acenaphthene","pollutant","6734","C1CC2=CC=CC3=C2C1=CC=C3","83-32-9",154.21,TRUE
"Acetaminophen","pollutant","1983","CC(=O)NC1=CC=C(C=C1)O","103-90-2",151.16,TRUE
"Acetaminophen sulfate","pollutant","83939","CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O","10066-90-7",231.23,TRUE
"Acetamiprid","pollutant","213021","CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl","160430-64-8",222.67,TRUE
"Acetylsalicylic acid","pollutant","2244","CC(=O)OC1=CC=CC=C1C(=O)O","50-78-2",180.16,TRUE
"Aclonifen","pollutant","92389","C1=CC=C(C=C1)OC2=C(C(=C(C=C2)[N+](=O)[O-])N)Cl","74070-46-5",264.66,TRUE
"Amitriptyline","pollutant","2160","CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31","50-48-6",277.4,TRUE
